Symbol,Name,Fund Provider,Dividend Yield,Tax Treatment Grade,Expense Ratio,AUM ,Total Return,Price Decay,Inception Date,Payout Frequency,Rating
YBST,GraniteShares YieldBOOST Single Stock Universe ETF,GraniteShares,44%,B,1.38%,2M,-25%,YES,12/16/2025,Weekly,C+
YBTY,GraniteShares YieldBOOST TopYielders ETF,GraniteShares,53%,B,1.38%,2M,-31%,YES,12/16/2025,Weekly,C-
AMYY,GraniteShares YieldBOOST AMD ETF,GraniteShares,68%,B,1.07%,9.5M,28%,YES,9/16/2025,Weekly,C+
XBTY,GraniteShares YieldBOOST Bitcoin ETF,GraniteShares,31%,B,1.15%,11M,-35%,YES,5/12/2025,Weekly,C-
COYY,GraniteShares YieldBOOST COIN ETF,GraniteShares,63%,B,1.07%,18M,-59%,YES,7/28/2025,Weekly,C-
HOYY,GraniteShares YieldBOOST HOOD ETF,GraniteShares,73%,B,1.07%,6M,-45%,YES,9/30/2025,Weekly,F
NVYY,GraniteShares YieldBOOST NVDA ETF,GraniteShares,39%,B,1.07%,30M,30%,YES,5/12/2025,Weekly,F
TQQY,GraniteShares YieldBOOST QQQ ETF,GraniteShares,25%,B,1.15%,6M,0%,YES,2/26/2025,Weekly,F
SMYY,GraniteShares YieldBOOST SMCI ETF,GraniteShares,71%,B,1.07%,7M,-30%,YES,9/30/2025,Weekly,C-
YSPY,GraniteShares YieldBOOST SPY ETF,GraniteShares,10%,B,1.15%,9M,15%,YES,2/26/2025,Weekly,C-
TSYY,GraniteShares YieldBOOST TSLA ETF,GraniteShares,44%,B,1.15%,62M,-32%,YES,12/18/2024,Weekly,C-
AHD,GraniteShares Autocallable HOOD ETF,GraniteShares,26%,B,1.07%,2M,17%,NO,5/16/2026,Weekly,C-
CONY,YieldMax COIN Option Income Strategy ETF,YieldMax,85%,B,0.99%,348M,45%,YES,8/14/2023,Weekly,C
ULTY,YieldMax Ultra Option Income Strategy ETF,YieldMax,61%,B,1.40%,732M,-7%,YES,2/28/2024,Weekly,C
MSTY,YieldMax MSTR Option Income Strategy ETF,YieldMax,101%,B,0.99%,915M,56%,YES,2/22/2024,Weekly,C+
SMCY,YieldMax SMCI Option Income Strategy ETF,YieldMax,101%,B,0.99%,149M,-37%,YES,9/11/2024,Weekly,D
TSLY,YieldMax TSLA Option Income Strategy ETF,YieldMax,51%,B,0.99%,691M,36%,YES,10/22/2022,Weekly,D+
